State,Signals received,% of total signals,Cases identified,% of total cases,Year
New Hampshire,59,0.16%,26,0.29%,2022
New Jersey,451,1.21%,146,1.63%,2022
New Mexico,181,0.49%,54,0.60%,2022
New York,1228,3.30%,359,4.00%,2022
North Carolina,888,2.39%,224,2.50%,2022
North Dakota,59,0.16%,19,0.21%,2022
Northern Marianas Islands,0,0.00%,0,0.00%,2022
Ohio,802,2.16%,273,3.04%,2022
Oklahoma,337,0.91%,84,0.94%,2022
Oregon,437,1.17%,146,1.63%,2022
Pennsylvania,787,2.12%,194,2.16%,2022
Puerto Rico,11,0.03%,5,0.06%,2022
Rhode Island,27,0.07%,8,0.09%,2022
South Carolina,312,0.84%,101,1.13%,2022
South Dakota,102,0.27%,25,0.28%,2022
Tennessee,388,1.04%,138,1.54%,2022
Texas,2859,7.69%,933,10.40%,2022
U.S. Virgin Islands,7,0.02%,3,0.03%,2022
Utah,264,0.71%,93,1.04%,2022
Vermont,32,0.09%,3,0.03%,2022
Virginia,547,1.47%,149,1.66%,2022
Washington,577,1.55%,204,2.27%,2022
West Virginia,89,0.24%,25,0.28%,2022
Wisconsin,310,0.83%,105,1.17%,2022
Wyoming,55,0.15%,16,0.18%,2022
Alabama,289,0.61%,79,0.76%,2021
Alaska,78,0.17%,16,0.15%,2021
Arizona,627,1.33%,218,2.11%,2021
Arkansas,262,0.56%,74,0.71%,2021
California,4984,10.57%,1340,12.94%,2021
Colorado,611,1.30%,152,1.47%,2021
Connecticut,161,0.34%,54,0.52%,2021
Delaware,100,0.21%,30,0.29%,2021
District of Columbia,189,0.40%,45,0.43%,2021
Florida,2895,6.14%,781,7.54%,2021
Georgia,977,2.07%,283,2.73%,2021
Guam,3,0.01%,0,0.00%,2021
Hawaii,89,0.19%,31,0.30%,2021
Idaho,111,0.24%,33,0.32%,2021
Illinois,893,1.89%,246,2.38%,2021
Indiana,469,0.99%,126,1.22%,2021
Iowa,308,0.65%,86,0.83%,2021
Kansas,274,0.58%,86,0.83%,2021
Kentucky,340,0.72%,116,1.12%,2021
Louisiana,374,0.79%,125,1.21%,2021
Maine,187,0.40%,31,0.30%,2021
Maryland,712,1.51%,119,1.15%,2021
Massachusetts,336,0.71%,93,0.90%,2021
Michigan,1175,2.49%,297,2.87%,2021
Minnesota,331,0.70%,98,0.95%,2021
Mississippi,543,1.15%,233,2.25%,2021
Missouri,1093,2.32%,240,2.32%,2021
Montana,179,0.38%,24,0.23%,2021
Nebraska,238,0.50%,57,0.55%,2021
Nevada,566,1.20%,201,1.94%,2021
New Hampshire,68,0.14%,24,0.23%,2021
New Jersey,568,1.20%,150,1.45%,2021
New Mexico,257,0.54%,59,0.57%,2021
New York,1668,3.54%,404,3.90%,2021
North Carolina,928,1.97%,222,2.14%,2021
North Dakota,101,0.21%,19,0.18%,2021
Northern Marianas Islands,0,0.00%,0,0.00%,2021
Ohio,1167,2.47%,290,2.80%,2021
Oklahoma,424,0.90%,100,0.97%,2021
Oregon,478,1.01%,160,1.55%,2021
Pennsylvania,984,2.09%,189,1.83%,2021
Puerto Rico,34,0.07%,12,0.12%,2021
Rhode Island,36,0.08%,16,0.15%,2021
South Carolina,542,1.15%,124,1.20%,2021
South Dakota,110,0.23%,29,0.28%,2021
Tennessee,533,1.13%,151,1.46%,2021
Texas,3309,7.02%,916,8.85%,2021
U.S. Virgin Islands,4,0.01%,3,0.03%,2021
Utah,308,0.65%,78,0.75%,2021
Vermont,34,0.07%,14,0.14%,2021
Virginia,589,1.25%,140,1.35%,2021
Washington,945,2.00%,233,2.25%,2021
West Virginia,110,0.23%,40,0.39%,2021
Wisconsin,389,0.82%,94,0.91%,2021
Wyoming,69,0.15%,13,0.13%,2021
Alabama,249,0.48%,87,0.83%,2020
Alaska,58,0.11%,22,0.21%,2020
American Samoa,0,0.00%,0,0.00%,2020
Arizona,606,1.18%,193,1.83%,2020
Arkansas,323,0.63%,100,0.95%,2020
California,5010,9.75%,1340,12.73%,2020
Colorado,602,1.17%,137,1.30%,2020
Connecticut,199,0.39%,49,0.47%,2020
Delaware,130,0.25%,26,0.25%,2020
District of Columbia,196,0.38%,42,0.40%,2020
Florida,2464,4.80%,745,7.08%,2020
Georgia,1066,2.08%,340,3.23%,2020
Hawaii,114,0.22%,40,0.38%,2020
Idaho,94,0.18%,29,0.28%,2020
Illinois,919,1.79%,252,2.39%,2020
Indiana,524,1.02%,140,1.33%,2020
Iowa,312,0.61%,77,0.73%,2020
Kansas,376,0.73%,87,0.83%,2020
Kentucky,324,0.63%,101,0.96%,2020
Louisiana,373,0.73%,104,0.99%,2020
Maine,93,0.18%,27,0.26%,2020
Maryland,534,1.04%,135,1.28%,2020
Massachusetts,226,0.44%,82,0.78%,2020
Michigan,883,1.72%,289,2.75%,2020
Minnesota,353,0.69%,88,0.84%,2020
Mississippi,695,1.35%,185,1.76%,2020
Missouri,948,1.85%,270,2.57%,2020
Montana,639,1.24%,30,0.29%,2020
Nebraska,260,0.51%,73,0.69%,2020
Nevada,582,1.13%,192,1.82%,2020
New Hampshire,45,0.09%,17,0.16%,2020
New Jersey,612,1.19%,149,1.42%,2020
New Mexico,178,0.35%,54,0.51%,2020
New York,1726,3.36%,414,3.93%,2020
North Carolina,1095,2.13%,259,2.46%,2020
North Dakota,71,0.14%,21,0.20%,2020
Northern Marianas Islands,0,0.00%,0,0.00%,2020
Ohio,1078,2.10%,310,2.95%,2020
Oklahoma,401,0.78%,113,1.07%,2020
Oregon,500,0.97%,139,1.32%,2020
Pennsylvania,916,1.78%,219,2.08%,2020
Puerto Rico,14,0.03%,0,0.00%,2020
Rhode Island,87,0.17%,10,0.10%,2020
South Carolina,769,1.50%,123,1.17%,2020
South Dakota,117,0.23%,24,0.23%,2020
Tennessee,533,1.04%,163,1.55%,2020
Texas,3179,6.19%,996,9.46%,2020
U.S. Virgin Islands,0,0.00%,0,0.00%,2020
Utah,181,0.35%,66,0.63%,2020
Vermont,33,0.06%,13,0.12%,2020
Virginia,564,1.10%,121,1.15%,2020
Washington,1070,2.08%,239,2.27%,2020
West Virginia,97,0.19%,40,0.38%,2020
Wisconsin,338,0.66%,98,0.93%,2020
Wyoming,47,0.09%,11,0.10%,2020
Alabama,291,0.59%,84,0.74%,2019
Alaska,55,0.11%,15,0.13%,2019
American Samoa,0,0.00%,0,0.00%,2019
Arizona,649,1.32%,231,2.03%,2019
Arkansas,229,0.46%,86,0.76%,2019
California,4713,9.55%,1518,13.36%,2019
Colorado,543,1.10%,180,1.58%,2019
Connecticut,139,0.28%,53,0.47%,2019
Delaware,79,0.16%,37,0.33%,2019
District of Columbia,195,0.40%,78,0.69%,2019
Florida,2272,4.61%,897,7.89%,2019
Georgia,1053,2.13%,428,3.77%,2019
Guam,0,0.00%,5,0.04%,2019
Hawaii,121,0.25%,35,0.31%,2019
Idaho,57,0.12%,27,0.24%,2019
Illinois,862,1.75%,267,2.35%,2019
Indiana,342,0.69%,156,1.37%,2019
Iowa,274,0.56%,100,0.88%,2019
Kansas,242,0.49%,94,0.83%,2019
Kentucky,538,1.09%,137,1.21%,2019
Louisiana,309,0.63%,157,1.38%,2019
Maine,84,0.17%,35,0.31%,2019
Maryland,557,1.13%,189,1.66%,2019
Massachusetts,325,0.66%,106,0.93%,2019
Michigan,958,1.94%,360,3.17%,2019
Minnesota,300,0.61%,106,0.93%,2019
Mississippi,368,0.75%,147,1.29%,2019
Missouri,641,1.30%,233,2.05%,2019
Montana,90,0.18%,38,0.33%,2019
Nebraska,284,0.58%,63,0.55%,2019
Nevada,440,0.89%,239,2.10%,2019
New Hampshire,83,0.17%,15,0.13%,2019
New Jersey,484,0.98%,247,2.17%,2019
New Mexico,159,0.32%,64,0.56%,2019
New York,1283,2.60%,458,4.03%,2019
North Carolina,1256,2.55%,268,2.36%,2019
North Dakota,53,0.11%,22,0.19%,2019
Ohio,1240,2.51%,449,3.95%,2019
Oklahoma,322,0.65%,113,0.99%,2019
Oregon,454,0.92%,134,1.18%,2019
Pennsylvania,755,1.53%,272,2.39%,2019
Puerto Rico,18,0.04%,5,0.04%,2019
Rhode Island,37,0.08%,15,0.13%,2019
South Carolina,522,1.06%,138,1.21%,2019
South Dakota,139,0.28%,26,0.23%,2019
Tennessee,579,1.17%,182,1.60%,2019
Texas,2561,5.19%,1088,9.57%,2019
U.S. Virgin Islands,4,0.01%,3,0.03%,2019
Utah,222,0.45%,90,0.79%,2019
Vermont,65,0.13%,9,0.08%,2019
Virginia,589,1.19%,188,1.65%,2019
Washington,892,1.81%,269,2.37%,2019
West Virginia,104,0.21%,38,0.33%,2019
Wisconsin,336,0.68%,95,0.84%,2019
Wyoming,40,0.08%,12,0.11%,2019
Alabama,258,0.62%,91,0.85%,2018
Alaska,68,0.16%,19,0.18%,2018
Arizona,515,1.24%,232,2.17%,2018
Arkansas,205,0.49%,84,0.79%,2018
California,4407,10.61%,1645,15.37%,2018
Colorado,570,1.37%,178,1.66%,2018
Connecticut,173,0.42%,56,0.52%,2018
Delaware,87,0.21%,39,0.36%,2018
District of Columbia,257,0.62%,86,0.80%,2018
Florida,1945,4.68%,762,7.12%,2018
Georgia,866,2.09%,376,3.51%,2018
Guam,5,0.01%,4,0.04%,2018
Hawaii,106,0.26%,47,0.44%,2018
Idaho,85,0.20%,25,0.23%,2018
Illinois,892,2.15%,296,2.77%,2018
Indiana,373,0.90%,143,1.34%,2018
Iowa,284,0.68%,102,0.95%,2018
Kansas,235,0.57%,93,0.87%,2018
Kentucky,451,1.09%,142,1.33%,2018
Louisiana,300,0.72%,149,1.39%,2018
Maine,82,0.20%,35,0.33%,2018
Maryland,471,1.13%,171,1.60%,2018
Massachusetts,292,0.70%,116,1.08%,2018
Michigan,1079,2.60%,384,3.59%,2018
Minnesota,329,0.79%,123,1.15%,2018
Mississippi,214,0.52%,86,0.80%,2018
Missouri,595,1.43%,177,1.65%,2018
Montana,96,0.23%,20,0.19%,2018
Nebraska,250,0.60%,81,0.76%,2018
Nevada,501,1.21%,312,2.92%,2018
New Hampshire,39,0.09%,12,0.11%,2018
New Jersey,463,1.11%,221,2.07%,2018
New Mexico,144,0.35%,70,0.65%,2018
New York,1028,2.48%,490,4.58%,2018
North Carolina,896,2.16%,286,2.67%,2018
North Dakota,54,0.13%,14,0.13%,2018
Ohio,1237,2.98%,446,4.17%,2018
Oklahoma,304,0.73%,121,1.13%,2018
Oregon,419,1.01%,135,1.26%,2018
Pennsylvania,667,1.61%,272,2.54%,2018
