office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Milwaukee, WI",,ERO,Chicago Field Office,TRUE,310 East Knapp Street,Milwaukee,WI,53202,53202,"310 East Knapp Street, Milwaukee, WI 53202",Wisconsin,43.0473257,-87.9080833
"Springfield, MO",,ERO,Chicago Field Office,TRUE,4715 West Junction Street,Springfield,MO,65802,65802,"4715 West Junction Street, Springfield, MO 65802","Missouri Counties - Vernon, Barton, Jasper, Newton, McDonald, Cedar, Dade, Lawrence, Barry, Polk, Greene, Christian, Stone, Taney, Dallas, Webster, Douglas, Ozark, Camden, Leclede, Wright, Pulaski, Texas, Howell, Oregon. Kansas Counties - Crawford and Cherokee",37.2164294,-93.3739866
"St. Louis, MO",,ERO,Chicago Field Office,TRUE,1222 Spruce Street Room 100,St. Louis,MO,63103,63103,"1222 Spruce Street Room 100, St. Louis, MO 63103",Missouri: Counties of East Missouri. Illinois: Counties of Southern Illinois,38.6242475,-90.2004311
"Wichita, KS",,ERO,Chicago Field Office,TRUE,"555 North Woodlawn Street Building 4, Suite 160",Wichita,KS,67208,67208,"555 North Woodlawn Street Building 4, Suite 160, Wichita, KS 67208",All of Kansas except for Northeast part of state,37.6960352,-97.2644429
"Dallas, TX",,ERO,Dallas Field Office,TRUE,8101 N. Stemmons Freeway,Dallas,TX,75247,75247,"8101 N. Stemmons Freeway, Dallas, TX 75247","All north Texas, east Texas, and Texas panhandle cases report to Dallas",32.8235915,-96.8721529
"Oklahoma City, OK",,ERO,Dallas Field Office,TRUE,1220 Sovereign Row,Oklahoma City,OK,73108,73108,"1220 Sovereign Row, Oklahoma City, OK 73108",State of Oklahoma,35.4536344,-97.5982786
"Alamosa, CO",,ERO,Denver Field Office,TRUE,1921 State Street,Alamosa,CO,81101,81101,"1921 State Street, Alamosa, CO 81101","Counties of Alamosa, Conejos, Costilla, Huerfano, Las Animas, Mineral, Rio Grande, Saguache",37.4893878,-105.8597721
"Casper, WY",,ERO,Denver Field Office,TRUE,150 E. B Street Room 1014,Casper,WY,82601,82601,"150 E. B Street Room 1014, Casper, WY 82601","Counties of Natrona, Fremont, Teton, Hot Springs, Washakie, Big Horn, Park, Sheridan, Johnson, Campbell, Crook, Weston",42.8523725,-106.3242133
"Cheyenne, WY",,ERO,Denver Field Office,TRUE,7052 Commerce Circle Suite 130,Cheyenne,WY,82007,82007,"7052 Commerce Circle Suite 130, Cheyenne, WY 82007","Counties of Converse, Niobrara, Albany, Platte, Goshen, Laramie, Carbon",41.1349237,-104.7210464
"Craig, CO",,ERO,Denver Field Office,TRUE,466 Tucker Street,Craig,CO,81626,81626,"466 Tucker Street, Craig, CO 81626","Colorado counties of Moffat, Rio Blanco, Routt, Jackson, Grand. Wyoming counties of Sublette, Lincoln, Uinta, Sweetwater.",40.5136142,-107.5451612
