office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Salt Lake City, UT",,ERO,Salt Lake City Field Office,TRUE,2975 Decker Lake Drive Suite 100,West Valley City,UT,84119,84119,"2975 Decker Lake Drive Suite 100, West Valley City, UT 84119","Counties: Salt Lake, Tooele, and Summit",40.7062912,-111.9461895
"St. George, UT",,ERO,Salt Lake City Field Office,TRUE,389 N. Industrial Road Suite 4,St. George,UT,84770,84770,"389 N. Industrial Road Suite 4, St. George, UT 84770","Counties: Washington, Iron, Beaver, Kane, Garfield.",37.1197342,-113.5534693
"Twin Falls, ID",,ERO,Salt Lake City Field Office,TRUE,212 Deere Street,Twin Falls,ID,83301,83301,"212 Deere Street, Twin Falls, ID 83301","Counties: Twin Falls, Cassia, Jerome, Minidoka, Lincoln, Gooding, Camas, Blaine, Custer, Lemhi, Butte.",42.5461498,-114.427697
"San Antonio, TX",,ERO,San Antonio Field Office,TRUE,3523 Crosspoint Drive,San Antonio,TX,78217,78217,"3523 Crosspoint Drive, San Antonio, TX 78217",36 counties of south central Texas,29.5437984,-98.4289612
"Imperial, CA",,ERO,San Diego Field Office,TRUE,2051 North Waterman Avenue Suite 101,El Centro,CA,92243,92243,"2051 North Waterman Avenue Suite 101, El Centro, CA 92243",Imperial County and SE Riverside County,32.8131562,-115.5728769
"San Diego, CA",,ERO,San Diego Field Office,TRUE,880 Front Street Suite 2242,San Diego,CA,92101,92101,"880 Front Street Suite 2242, San Diego, CA 92101","Counties of: Coronado, Del Mar, Descanso, Dulzura, El Cajon, Encinitas, Escondido, Fallbrook, Guatay, Imperial Beach, Jacumba, Jamul, Julian, La Jolla, La Mesa, Lakeside, Lemon Grove, Mount Laguna, National City, Oceanside, Pala, Palomar Mountain, Pauma Valley, Pine Valley, Potrero, Poway, Ramona, Ranchita, Rancho Santa Fe, San Diego, San Luis Rey, San Marcos, San Ysidro, Santa Ysabel, Santee, Solana Beach, Spring Valley, Tecate, Valley Center, Vista, Warner Springs",32.7143257,-117.1653527
"Agana, GU",,ERO,San Francisco Field Office,TRUE,291 Chalan Pasaheru Suite 100,Tamuning,GU,96913,96913,"291 Chalan Pasaheru Suite 100, Tamuning, GU 96913",Island of Guam,13.494134,144.798198
"Bakersfield, CA",,ERO,San Francisco Field Office,TRUE,800 Truxtun Avenue,Bakersfield,CA,93301,93301,"800 Truxtun Avenue, Bakersfield, CA 93301",Kern County; Inyo County; Mono County; Southern half of Tulare County,35.3736714,-119.0112192
"Fresno, CA",,ERO,San Francisco Field Office,TRUE,733 L Street,Fresno,CA,93721,93721,"733 L Street, Fresno, CA 93721","Counties of: Fresno, Madera, Merced, Kings, Mariposa and Tulare",36.7326978,-119.7856018
"Honolulu, HI",,ERO,San Francisco Field Office,TRUE,595 Ala Moana Boulevard,Honolulu,HI,96813,96813,"595 Ala Moana Boulevard, Honolulu, HI 96813",Hawaii,21.2999288,-157.8638944
"Sacramento, CA",,ERO,San Francisco Field Office,TRUE,650 Capitol Mall Room I-120,Sacramento,CA,95814,95814,"650 Capitol Mall Room I-120, Sacramento, CA 95814","Counties of: Siskiyou Modoc, Trinity, Shasta, Lassen, Tehama, Plumas, Glenn, Butte, Sierra, Nevada, Colusa, Sutter, Yuba, Placer, El Dorado, Yolo, Solano, Sacramento",38.5779984,-121.4998771
"Saipan, CNMI",,ERO,San Francisco Field Office,TRUE,"2 Joeten Center, Gualo Rai",Saipan,MP,96950,96950,"2 Joeten Center, Gualo Rai, Saipan, MP 96950",Commonwealth of the Northern Marianas Islands (CNMI),15.2100748,145.7170756
"San Francisco, CA",,ERO,San Francisco Field Office,TRUE,630 Sansome Street 5th Floor,San Francisco,CA,94111,94111,"630 Sansome Street 5th Floor, San Francisco, CA 94111","Non-detained reporting: Counties of Alameda, Contra Costa, Del Norte, Humboldt, Lake, Marin, Mendocino, Monterey, Napa, San Francisco, San Mateo, Sonoma, San Benito, Santa Clara, Santa Cruz; ATD for the following counties should report to San Jose: San Benito, Santa Clara, Santa Cruz.",37.7961915,-122.4014691
"San Jose, CA",,ERO,San Francisco Field Office,TRUE,220 Vineyard Court,Morgan Hill,CA,95037,95037,"220 Vineyard Court, Morgan Hill, CA 95037",,37.1162468,-121.6410552
"Stockton, CA",,ERO,San Francisco Field Office,TRUE,603 San Juan Avenue First Floor,Stockton,CA,95203,95203,"603 San Juan Avenue First Floor, Stockton, CA 95203","Counties of: San Joaquin, Stanislaus, Calaveras, Tuolumne, Alpine, Amador",37.953626,-121.3211413
"Anchorage, AK",,ERO,Seattle Field Office,TRUE,620 East 10th Avenue,Anchorage,AK,99501,99501,"620 East 10th Avenue, Anchorage, AK 99501",Alaska,61.212362,-149.8722992
"Eugene, OR",,ERO,Seattle Field Office,TRUE,211 East 7th Avenue Suite 120,Eugene,OR,97401,97401,"211 East 7th Avenue Suite 120, Eugene, OR 97401","Counties of Lane, Benton, Linn, Marion, Lincoln, and Polk",44.0526794,-123.0893845
"Medford, OR",,ERO,Seattle Field Office,TRUE,3715 International Way,Medford,OR,97504,97504,"3715 International Way, Medford, OR 97504","Counties - Jackson, Josephine, Douglas, Coos, Curry, Crook, Jefferson, Deschutes, Klamath, and Lake",42.3732257,-122.8664145
"Portland, OR",,ERO,Seattle Field Office,TRUE,4310 S Macadam Avenue Suite 300,Portland,OR,97239,97239,"4310 S Macadam Avenue Suite 300, Portland, OR 97239","Oregon Counties - Clatsop, Columbia, Tillamook, Yamhill, Washington, Multnomah, Clackamas, Hood River, Wasco, Sherman, Gilliam, Wheeler, Grant, Union, and Harney. Washington Counties - Pacific, Wahkiakum, Cowlitz, and Skamania",45.4928961,-122.6725407
"Richland, WA",,ERO,Seattle Field Office,TRUE,825 Jadwin Avenue Room G165,Richland,WA,99352,99352,"825 Jadwin Avenue Room G165, Richland, WA 99352","Washington Counties - Benton, Franklin, Asotin, Columbia, Walla Walla, Whitman, and Garfield Oregon Counties - Wallowa, Union, Umatilla, Morrow, and Grant",46.2781477,-119.2763319
"Seattle, WA",,ERO,Seattle Field Office,TRUE,12500 Tukwila International Boulevard 4th Floor,Seattle,WA,98168,98168,"12500 Tukwila International Boulevard 4th Floor, Seattle, WA 98168","Counties - Snohomish, King, Pierce, Thurston, Lewis, Grays Harbor, Mason, Kitsap, Jefferson, Clallam, Whatcom, Skagit, San Juan, and Island",47.4907997,-122.2914497
"Spokane, WA",,ERO,Seattle Field Office,TRUE,411 W Cataldo Avenue,Spokane,WA,99201,99201,"411 W Cataldo Avenue, Spokane, WA 99201","Washington Counties - Pend Oreille, Stevens, Ferry, Lincoln, Spokane, Adams, and Whitman. Idaho Counties - Boundary, Bonner, Kootenai, Benewah, Shoshone, and Latah",47.66582,-117.4181833
"Wenatchee, WA",,ERO,Seattle Field Office,TRUE,3701 River Road,Yakima,WA,98902,98902,"3701 River Road, Yakima, WA 98902","Counties - Okanagan, Chelan, Grant, and Douglas",46.6183336,-120.5593593
"Yakima, WA",,ERO,Seattle Field Office,TRUE,3701 River Road,Yakima,WA,98902,98902,"3701 River Road, Yakima, WA 98902","Counties - Yakima, Kittitas, and Klickitat",46.6183336,-120.5593593
"Cedar Rapids, IA",,ERO,St. Paul Field Office,TRUE,3351 Square D Drive SW,Cedar Rapids,IA,52404,52404,"3351 Square D Drive SW, Cedar Rapids, IA 52404","Counties of Allamakee, Benton, Black Hawk, Bremer, Buchanan, Cedar, Chickasaw, Clayton, Clinton, Delaware, Des Moines, Dubuque, Fayette, Floyd, Henry, Howard, Iowa, Jackson, Jefferson, Johnson, Jones, Keokuk, Lee, Linn, Louisa, Mitchell, Muscatine, Scott, Tama, Van Buren, Washington, Winneshiek",41.9420681,-91.6808554
"Des Moines, IA",,ERO,St. Paul Field Office,TRUE,210 Walnut St. Suite 359,Des Moines,IA,50309,50309,"210 Walnut St. Suite 359, Des Moines, IA 50309","Central Iowa counties: Adair, Adams, Appanoose, Boone, Butler, Cerro Gordo, Clarke, Dallas, Davis, Decatur, Franklin, Greene, Guthrie, Hamilton, Hancock, Hardin, Jasper, Lucas, Madison, Mahaska, Marion, Marshall, Monroe, Polk Ringgold, Story, Taylor, Union, Wapello, Warren, Wayne, Webster, Winnebago, Worth, Wright",41.5864152,-93.6201531
"Grand Forks, ND",,ERO,St. Paul Field Office,TRUE,124 N. 6th Street,Grand Forks,ND,58203,58203,"124 N. 6th Street, Grand Forks, ND 58203","Northwestern Minnesota Counties - Wilkin, Otter Tail, Becker, Clay, Norman, Mahnomen, Polk, Red Lake, Pennington, Marshall, Kittson, Roseau, Lake of the Woods, Beltrami, Clearwater, Hubbard, Wadena, Cass, Itasca, Koochiching. North Dakota Counties - Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargeant, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams",47.924267,-97.0353236
"Grand Island, NE",,ERO,St. Paul Field Office,TRUE,703 South Webb Road Suite D,Grand Island,NE,68803,68803,"703 South Webb Road Suite D, Grand Island, NE 68803","Keya Paha, Boyd, Brown, Rock, Holt, Blaine, Loup, Garfield, Wheeler, Valley, Greeley, Sherman, Howard, Buffalo, Kearney, Franklin, Webster, Adams, Hall, Boone, Nance, Merrick, Hamilton, York, Polk, Platte, Butler, Seward, Fillmore, Saline, Thayer, Jefferson, Nuckolls, Clay",40.9121111,-98.377247
"North Platte, NE",,ERO,St. Paul Field Office,TRUE,300 E. 3rd Street Suite 110,North Platte,NE,69101,69101,"300 E. 3rd Street Suite 110, North Platte, NE 69101","Sioux, Dawes, Sheridan, Cherry, Box Butte, Scotts Bluff Banner, Kimball, Cheyenne, Morrill, Deuel, Grant, Arthur, Keith, Perkins, Chase, Dundy, Hitchcock, Hayes, Lincoln, McPherson, Hooker, Thomas, Logan, Custer, Dawson, Frontier, Red Willow, Furnas, Gosper, Phelps, Harlan",41.1348157,-100.7603409
"Omaha, NE",,ERO,St. Paul Field Office,TRUE,1717 Ave H,Omaha,NE,68110,68110,"1717 Ave H, Omaha, NE 68110","Nebraska Counties: Colfax, Dodge, Washington, Douglas, Sarpy, Saunders, Cass, Otoe, Lancaster, Johnson, Nemaha, Pawnee, Richardson. Iowa Counties: Harrison, Shelby, Audubon, Cass, Pottawattamie, Mills, Montgomery, Page, Fremont",41.2804967,-95.9086152
"Rapid City, SD",,ERO,St. Paul Field Office,TRUE,1516 Fountain Plaza Drive,Rapid City,SD,57702,57702,"1516 Fountain Plaza Drive, Rapid City, SD 57702","Western SD counties -- Harding, Butte, Lawrence, Pennington, Custer, Fall River, Perkins, Meade, Shannon, Corson, Ziebach, Haakon, Jackson, Bennett, Dewey, Stanley, Jones, Mellette",44.099876,-103.2584069
"Sioux City, IA",,ERO,St. Paul Field Office,TRUE,3301 Singing Hills Boulevard Suite B,Sioux City,IA,51106,51106,"3301 Singing Hills Boulevard Suite B, Sioux City, IA 51106","Western Iowa counties -- Buena Vista, Calhoun Carroll, Cherokee, Clay, Crawford, Dickenson, Emmett, Humboldt, Ida, Kossuth, Lyon, Monona, O'Brien, Osceola, Palo Alto, Plymouth, Pocahontas, Woodbury. Eastern Nebraska Counties -- Antelope, Burt, Cedar, Cuming, Dakota, Dixon, Knox, Madison, Pierce, Stanton, Thurston, Wayne.",42.4367453,-96.3654506
"Sioux Falls, SD",,ERO,St. Paul Field Office,TRUE,2708 N. 1st Avenue,Sioux Falls,SD,57104,57104,"2708 N. 1st Avenue, Sioux Falls, SD 57104","Southwestern Minnesota Counties - Pipestone, Nobles, Rock, Jackson, Cottonwood, Murray, Lincoln. Eastern South Dakota Counties - Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Buffalo, Campbell, Charles Mix, Clark, Clay, Codington, Davison, Day, Deuel, Dewey, Douglas, Edmunds, Faulk, Grant, Gregory, Hamlin, Hand, Hanson, Hughes, Hutchinson, Hyde, Jerauld, Kingsbury, Lake, Lincoln, Lyman, Marshall, McCook, McPherson, Miner, Minnehaha, Moody, Perkins, Potter, Roberts, Sanborn, Spink, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton",43.5765387,-96.7234621
"St. Paul, MN",,ERO,St. Paul Field Office,TRUE,1 Federal Drive Suite 1601,Fort Snelling,MN,55111,55111,"1 Federal Drive Suite 1601, Fort Snelling, MN 55111","Counties - Aitkin, Anoka, Benton, Big Stone, Blue Earth, Brown, Carlton, Carver, Chippewa, Chisago, Cook, Crow Wing, Dakota, Dodge, Douglas, Faribault, Fillmore, Freeborn, Goodhue, Grant, Hennepin, Houston, Isanti, Kanabec, Kandiyohi, Lac Qui Parle, Lake, Le Sueur, Lyon, McLeod, Martin, Meeker, Mille Lacs, Morrison, Mower, Nicollet, Olmstead, Pine, Pope, Ramsey, Redwood, Renville, Rice, Saint Louis, Scott, Sherburne, Sibley, Searns, Steele, Stevens, Swift, Todd, Traverse, Wabasha, Waseca, Washington, Watonwan, Winona, Wright, Yellow Medicine.",44.8941668,-93.1948264
"Norfolk, VA",,ERO,Washington Field Office,TRUE,200 Granby Street Suite 821,Norfolk,VA,23510,23510,"200 Granby Street Suite 821, Norfolk, VA 23510","Norfolk, Virginia Beach, Suffolk, Portsmouth, Isle of the Wright, James City, Williamsburg, Gloucester, Poquoson, North Hampton, Hampton, South Hampton, Chesapeake, Williamsburg, Newport News, Mathews, Surry, Accomack",36.8485299,-76.290531
"Richmond, VA",,ERO,Washington Field Office,TRUE,9200 Arboretum Parkway Suite 140,North Chesterfield,VA,23236,23236,"9200 Arboretum Parkway Suite 140, North Chesterfield, VA 23236","Counties: Lee, Scott, Wise, Dickenson, Buchanan, Russell, Tazewell, Smyth, Washington, Bland, Wythe, Pulaski, Carroll, Gilles, Montgomery, Floyd, Patrick, Henry, Franklin, Roanoke, Craig, Alleghany, Botetourt, Pittsylvania, Halifax, Mecklenburg, Brunswick, Greensville, Amelia, Powhatan, Amherst, Louisa, Caroline, Dinwiddie, Charlotte, Lunenburg, New Kent, Prince George, Bedford, King George, Richmond, Lancaster, Northumberland, West Moreland, Essex, King and Queen, King William, Prince Edward, Nottoway, Chesterfield, Henrico, Hanover, Fluvanna, Goochland, Spotsylvania, Appomattox, Cumberland, Bedford, Grayson",37.4942488,-77.5686275
"Washington, DC",,ERO,Washington Field Office,TRUE,14797 Murdock Street,Chantilly,VA,20151,20151,"14797 Murdock Street, Chantilly, VA 20151","Fredrick, Clarke, Loudon, Fairfax, Fauquier, Warren, Prince William, Stafford, Culpeper, Page, Shenandoah, Madison, Rockingham, Albemarle, Madison, Orange, Rappahannock, Augusta, Highland, Bath, Rockbridge, and the District of Columbia",38.9114848,-77.4586768
